AREACD,AREANM,time1,time2,time3,time4,time5
E06000001,Hartlepool,95.07589405,95.70812612,94.56583318,96.77491198,93.91124728
E06000002,Middlesbrough,92.33780485,91.20610935,91.42176246,89.70678262,88.68663394
E06000003,Redcar and Cleveland,97.25619556,97.53907478,98.92165719,97.14264921,95.43609234
E06000004,Stockton-on-Tees,95.60903091,97.29101212,98.23705488,97.01097705,96.74409868
E06000005,Darlington,98.79638127,97.85082228,98.89639807,99.00762558,98.25932096
E06000006,Halton,95.85154265,92.90803849,95.33251881,95.76780362,94.20246676
E06000007,Warrington,96.28328123,98.76449034,101.1526527,101.1069046,98.71791588
E06000008,Blackburn with Darwen,94.60363154,93.06635183,95.80431068,97.20868605,95.99391946
E06000009,Blackpool,85.87283641,87.0165539,85.00959087,85.81564412,84.76766233
E06000010,"Kingston upon Hull, City of",88.98281832,89.5237512,90.29759364,89.36165792,88.62471324
E06000011,East Riding of Yorkshire,102.4888724,103.1230421,102.5693101,103.5344196,101.007616
E06000012,North East Lincolnshire,98.3340651,99.23103,98.76618496,96.77838861,96.48199148
E06000013,North Lincolnshire,99.03961281,101.4097785,102.1404825,96.41523914,97.37774316
E06000014,York,100.2305836,101.9564244,100.0171613,100.4673629,101.2206841
E06000015,Derby,96.07513352,95.73776097,96.95499903,98.05561547,96.39179938
E06000016,Leicester,93.69475954,91.0551163,91.03257703,95.72760033,92.60970792
E06000017,Rutland,113.471193,113.8810439,111.9248389,113.5850293,109.3810639
E06000018,Nottingham,90.79572697,91.08140828,91.89870512,91.50072908,89.22522144
E06000019,"Herefordshire, County of",103.1288644,103.0089342,103.66732,101.8738067,99.45569978
E06000020,Telford and Wrekin,96.90293977,97.5538845,98.44937726,99.45137885,95.76114758
E06000021,Stoke-on-Trent,89.15039212,91.85172926,92.38033256,88.73407198,88.87436654
E06000022,Bath and North East Somerset,103.202197,104.0020162,102.2025916,103.8670776,101.5334994
E06000023,"Bristol, City of",91.20915962,92.31415701,93.22850833,92.91500098,91.15181397
E06000024,North Somerset,101.2059211,101.3485563,98.93323888,100.7905767,101.0489064
