AREACD,AREANM,time1,time2,time3,time4,time5
E92000001,England,100,100.3184472,100.4043825,100.2881118,100.0938656
E06000001,Hartlepool,96.42113424,96.41099883,95.62834328,94.88906088,94.49588619
E06000002,Middlesbrough,92.65345506,91.98137408,92.69934852,91.63651599,91.02438023
E06000003,Redcar and Cleveland,98.49390305,98.60846368,99.12007392,98.22923554,97.84825852
E06000004,Stockton-on-Tees,97.33523113,98.29606987,97.88355334,97.11747111,98.55604131
E06000005,Darlington,98.93786967,98.32005598,98.46796347,99.34127682,99.14604042
E06000006,Halton,97.69267841,96.62230566,97.08703612,96.9316238,96.4083774
E06000007,Warrington,100.9361003,101.8078746,102.6488984,101.3421482,101.2845445
E06000008,Blackburn with Darwen,96.20126983,95.74121356,97.0522396,97.09108483,96.72052359
E06000009,Blackpool,90.51025617,90.89655005,90.32705862,90.47294345,90.56890483
E06000010,"Kingston upon Hull, City of",91.09155027,91.27948003,91.18425517,90.32886855,91.78074429
E06000011,East Riding of Yorkshire,103.1352754,103.7518287,103.3101655,103.9424935,103.3899742
E06000012,North East Lincolnshire,97.37791643,97.69978083,97.65857981,96.61951506,97.22765134
E06000013,North Lincolnshire,99.60078497,100.2026307,99.97381855,97.18359541,98.21492678
E06000014,York,101.9561343,103.1156632,102.649466,102.0424531,103.1317743
E06000015,Derby,96.76925508,96.62489839,97.10228353,97.48508064,96.89200701
E06000016,Leicester,93.26748608,92.71249103,93.10151258,94.5123372,93.61681585
E06000017,Rutland,111.4391559,110.9058503,110.6845989,111.439584,109.2157262
E06000018,Nottingham,91.74080527,92.2343418,92.51236656,92.30510012,91.84381255
E06000019,"Herefordshire, County of",101.3708322,102.227351,102.7080567,101.3676603,101.1155525
E06000020,Telford and Wrekin,98.4922783,98.35725096,99.0705717,99.89474371,97.81244964
E06000021,Stoke-on-Trent,93.6593168,94.51816933,94.94036995,92.9710133,93.36354342
E06000022,Bath and North East Somerset,103.2888975,104.0577367,104.0518249,105.2790964,104.2360888
E06000023,"Bristol, City of",94.78004615,95.50639207,96.84760801,96.75760573,96.14288619
E06000024,North Somerset,101.7901942,102.2872265,102.3199257,102.8539249,102.4908473
E06000025,South Gloucestershire,104.9600789,104.4909958,105.0516712,104.3725512,103.942744
E06000026,Plymouth,98.35674326,98.7597688,98.54738691,98.28999022,97.34247792
E06000027,Torbay,98.53418555,99.72565114,98.98422917,99.20283022,99.18304981
E06000030,Swindon,98.28196399,99.99976704,99.37122418,98.81528666,99.18824304
E06000031,Peterborough,97.38559212,96.34943857,96.12175831,95.66986083,96.16194692
E06000032,Luton,97.33828924,96.07914091,96.33395528,96.99678276,96.51180406
E06000033,Southend-on-Sea,99.26573551,99.41507266,99.49083477,99.59836602,99.64398989
E06000034,Thurrock,97.48425542,97.7427572,97.51449013,97.36306885,97.20711404
E06000035,Medway,97.04785151,97.88078395,97.76709085,98.19190471,98.09026774
E06000036,Bracknell Forest,106.0371119,106.9262694,107.2307982,105.8761193,106.0651793
