AREACD,AREANM,time1,time2,time3,time4,time5
E06000001,Hartlepool,94.11677614,96.40913974,97.60389488,98.43758973,94.92927089
E06000002,Middlesbrough,102.5889217,98.46575057,98.10325035,101.042745,93.52310703
E06000003,Redcar and Cleveland,98.4410969,98.46506774,104.9872387,104.381671,101.0823214
E06000004,Stockton-on-Tees,100.2574733,104.0776043,106.3894904,104.8049983,98.41003031
E06000005,Darlington,102.2998352,99.26756052,103.4895286,103.7745819,102.9282398
E06000006,Halton,97.54891104,95.1130343,99.59193296,102.0238753,97.78415843
E06000007,Warrington,99.59025164,107.1954017,108.628609,107.3809474,105.2882221
E06000008,Blackburn with Darwen,97.65728604,96.68104197,106.5876366,108.8888815,108.6388576
E06000009,Blackpool,94.35418957,90.29126038,92.31971037,96.48762574,93.43180745
E06000010,"Kingston upon Hull, City of",90.39945627,94.76002692,100.8245364,98.49790979,92.61359806
E06000011,East Riding of Yorkshire,109.1260483,113.7157903,108.9880276,112.8785292,112.2376219
E06000012,North East Lincolnshire,102.2695848,101.7278147,103.8473824,103.3125396,106.4665172
E06000013,North Lincolnshire,98.91265979,105.3281477,103.7004699,97.4200411,100.7192813
E06000014,York,101.5988182,102.7823034,97.27800621,97.20105922,102.1490233
E06000015,Derby,93.63332854,97.49876309,99.65052817,107.5592757,101.6553304
E06000016,Leicester,89.97173435,94.92004213,86.85893633,104.7141259,101.815625
E06000017,Rutland,106.9838663,111.0318036,108.2429318,107.3386354,105.763117
E06000018,Nottingham,90.29425486,87.08648325,88.46432628,89.81386806,82.53379938
E06000019,"Herefordshire, County of",104.0952526,105.6134353,111.0782325,110.8780765,104.4878731
E06000020,Telford and Wrekin,98.1694015,102.8885034,101.3726535,102.17063,93.0523747
E06000021,Stoke-on-Trent,92.55256744,100.4765316,97.33288907,94.86568697,99.73384124
E06000022,Bath and North East Somerset,101.3981584,100.0485821,97.67275603,104.0962723,92.54080815
E06000023,"Bristol, City of",88.08681981,92.05556597,89.9284423,89.15601077,90.01156952
E06000024,North Somerset,100.3186653,100.9619942,98.07663207,110.2124704,103.9933953
E06000025,South Gloucestershire,104.9141603,99.12430615,104.8360999,103.1905863,100.3801752
E06000026,Plymouth,101.1278733,102.7267722,104.9362484,98.92582144,100.0796609
E06000027,Torbay,104.4487324,105.4233281,98.79391678,105.8385176,102.7804239
E06000030,Swindon,99.59465853,99.93973629,103.2797756,101.8036516,101.9911257
E06000031,Peterborough,97.96599391,99.54765634,99.14604676,102.0284942,99.3752633
